Comissao_ID,Comissao_Nome,Vigencia_Inicio,Vigencia_Fim,Comissao_Descricao,Resolucao_Nome,Resolucao_Numero,Resolucao_Data,Resolucao_Alteracao_Nome,Resolucao_Alteracao_Numero,Resolucao_Alteracao_Data,Resolucao_Alteracao_Descricao,Materia_Competencia_Mudanca,Materia_Competencia_Mudanca_Descricao,Norma_Artigo,Norma_Paragrafo,Norma_Inciso
1,Comissão de Constituição e Justiça,18/06/1991,,"A Comissão de Constituição e Justiça foi criada pela Resolução nº 19, de 1991 e mantida pela Resolução 167, de 16/11/2000","Resolução 19, de 17/06/1991",19,17/06/1991,"Resolução 167, de 16/11/2000",167,16/11/2000,Mantem a Comissão de Constituição e Justiça,Criação de Comissão,A Comissão de Constituição e Justiça foi uma das quatro primeiras comissões permanentes da CLDF,"23, 24",,I
2,"Comissão de Economia, Orçamento e Finanças",18/06/1991,,"A Comissão de Economia, Orçamento e Finanças foi criada pela Resolução nº 19, de 1991 e mantida pela Resolução 167, de 16/11/200","Resolução 19, de 17/06/1991",19,17/06/1991,"Resolução 167, de 16/11/2000",167,16/11/2000,"Mantem a Comissão de Economia, Orçamento e Finanças",Criação de Comissão,"A Comissão de Economia, Orçamento e Finanças foi uma das quatro primeiras comissões permanentes da CLDF","23, 24",,II
3,Comissão de Assuntos Sociais,18/06/1991,,"A Comissão de Assuntos Sociais foi criada pela Resolução nº 19, de 1991 e mantida pela Resolução 167, de 16/11/200","Resolução 19, de 17/06/1991",19,17/06/1991,"Resolução 167, de 16/11/2000",167,16/11/2000,Mantem a Comissão de Assuntos Sociais,Criação de Comissão,A Comissão de Assuntos Sociais foi uma das quatro primeiras comissões permanentes da CLDF,"23, 24",,III
4,Comissão de Defesa dos Direitos Humanos e Cidadania,18/06/1991,17/11/2000,"A Comissão de Defesa dos Direitos Humanos e Cidadania foi criada pela Resolução nº 19, de 1991 e alterada em sua nomecnclatura pela Resolução 167, de 16/11/2000","Resolução 19, de 17/06/1991",19,17/06/1991,"Resolução 167, de 16/11/2000",167,16/11/2000,Altera nomenclatura Comissão de Defesa dos Direitos Humanos e Cidadania,Criação de Comissão,A Comissão de Defesa dos Direitos Humanos e Cidadania foi uma das quatro primeiras comissões permanentes da CLDF,23.24,Parágrafo único,IV
5,Comissão de Ética e Decoro Parlamentar,18/05/1996,17/11/2000,"A Comissão de Ética e Decoro Parlamentar foi criada pela Resolução nº 110, de 1996","Resolução 110, de 17/05/1996",110,17/05/1996,"Resolução 167, de 16/11/2000",167,16/11/2000,Revogação da Comissão de Ética e Decoro Parlamentar,Criação de Comissão,A Comissão de Ética e Decoro Parlamentar foi criada para tratar de questões de ética e decoro parlamentar e posteriormente extinta,7,IV,
6,Comissão de Defesa do Consumidor,17/11/2000,,"A Comissão de Defesa do Consumidor foi criada pela Resolução nº 167, de 2000","Resolução 167, de 16/11/2000",167,16/11/2000,Resolução 177 de 22/02/2002,177,22/2/2002,Altera a redação do Art. 58,Criação de Comissão,Cria Comissão de Defesa do Consumidor,58,,IV
7,"Comissão de Defesa dos Direitos Humanos, Cidadania, Ética e Decoro Parlamentar",17/11/2000,14/03/2024,"A Comissão de Defesa dos Direitos Humanos, Cidadania, Ética e Decoro Parlamentar foi criada pela Resolução nº 167, de 2000","Resolução 167, de 16/11/2000",167,16/11/2000,Resolução 177 de 22/02/2002,177,22/2/2002,Altera a redação do Art. 58,Alteração na nomenclatura da Comissão,Junção da Comissão de Defesa dos Direitos Humanos e Cidadania com a Comissão de Ética e Decoro Parlamentar,58,,V
8,Comissão de Assuntos Fundiários,17/11/2000,,"A Comissão de Assuntos Fundiários foi criada pela Resolução nº 167, de 2000","Resolução 167, de 16/11/2000",167,16/11/2000,Resolução 177 de 22/02/2002,177,22/2/2002,Altera a redação do Art. 58,Criação de Comissão,Cria Comissão de Assuntos Fundiários,58,,VI
9,"Comissão de Educação, Saúde e Segurança",17/11/2000,27/02/2002,"A Comissão de Educação, Saúde e Segurança foi criada pela Resolução nº 167, de 2000","Resolução 167, de 16/11/2000",167,16/11/2000,Resolução 177 de 22/02/2002,177,22/2/2002,Altera a redação do Art. 58,Criação de Comissão,"Cria Comissão de Educação, Saúde e Segurança",58,,VII
10,Comissão de Educação e Saúde,23/02/2002,8/2/2011,"A Comissão de Educação e Saúde foi criada pela Resolução nº 177, de 2002",Resolução 177 de 22/02/2002,177,22/2/2002,"Resolução 167, de 16/11/2000",167,16/11/2000,Altera a redação do Art. 58,Alteração na nomenclatura da Comissão,"A Comissão de Educação, Saúde e Segurança passa a se chamar Comissão de Educação e Saúde",58,,VII
11,Comissão de Segurança,23/02/2002,,"A Comissão de Segurança foi criada pela Resolução nº 177, de 2002",Resolução 177 de 22/02/2002,177,22/2/2002,"Resolução 167, de 16/11/2000",167,16/11/2000,Altera a redação do Art. 58,Alteração na nomenclatura da Comissão,Criação da Comissão de Segurança desmembrada da Comissão de Educação e Saúde e Segurança,58,,VIII
12,"Comissão de Desenvolvimento Econômico Sustentável, Ciência, Tecnologia e Meio Ambiente",3/11/2002,7/12/2003,"A Comissão de Desenvolvimento Econômico Sustentável, Ciência, Tecnologia e Meio Ambiente foi criada pela Resolução nº 181, de 2002","Resolução 181, de 08/03/2002",181,8/3/2002,"Resolução 167, de 16/11/2000",167,16/11/2000,Altera a redação do Art. 58,Criação de Comissão,"Criação da Comissão de Desenvolvimento Econômico Sustentável, Ciência, Tecnologia, Meio Ambiente",58,,IX
13,"Comissão de Desenvolvimento Econômico Sustentável, Ciência, Tecnologia, Meio Ambiente e Turismo",9/12/2003,,"Comissão de Desenvolvimento Econômico Sustentável, Ciência, Tecnologia, Meio Ambiente e Turismo","Resolução 200, de 08/12/2003",200,8/12/2003,"Resolução 167, de 16/11/2000",167,16/11/2000,Altera a redação do Art. 58,Alteração na nomenclatura da Comissão,"Comissão de Desenvolvimento Econômico Sustentável, Ciência, Tecnologia e Meio Ambiente passa a incluir Turismo em sua nomenclatura",58,,IX
14,"Comissão de Educação, Saúde e Cultura",3/8/2011,7/8/2024,"Comissão de Educação, Saúde e Cultura",Resolução 248 de 02/08/2011,248,2/8/2011,"Resolução 167, de 16/11/2000",167,16/11/2000,Altera a redação do Art. 58,Alteração na nomenclatura da Comissão,Comissão de Educação e Saúde passa a incluir Cultura em sua nomenclatura,58,,VII
15,"Comissão de Fiscalização, Governança, Transparência e Controle",15/01/2013,,"A Comissão de Fiscalização, Governança, Transparência e Controle foi criada pela Resolução 261 de 14/01/2013",Resolução 261 de 14/01/2013,261,14/01/2013,"Resolução 167, de 16/11/2000",167,16/11/2000,Altera a redação do Art. 58,Criação de Comissão,"Criação da Comissão de Fiscalização, Governança, Transparência e Controle",58,,X
16,Comissão de Transporte e Mobilidade Urbana,14/12/2018,,Criação da Comissão de Transporte e Mobilidade Urbana,Resolução 303 de 13/12/2018,303,13/12/2018,"Resolução 167, de 16/11/2000",167,16/11/2000,Altera a redação do Art. 58,Criação de Comissão,Criação da Comissão de Transporte e Mobilidade Urbana,58,,XI
17,Comissão de Produção Rural e Abastecimento,25/10/2023,,"Criação da Comissão de Produção Rural e Abastecimento pela Resolução 336, de 2023",Resolução 336 de 24/10/2023,336,24/10/2023,"Resolução 167, de 16/11/2000",167,16/11/2000,Acrescenta o inciso XII ao art. 58,Criação de Comissão,Criação da Comissão de Produção Rural e Abastecimento,58,,XII
18,"Comissão de Defesa dos Direitos Humanos, Cidadania e Legislação Participativa",16/03/2024,,"A Comissão de Defesa dos Direitos Humanos, Cidadania e Legislação Participativa foi criada pela Resolução 341 de 15/03/2024",Resolução 341 de 15/03/2024,341,15/3/2024,"Resolução 167, de 16/11/2000",167,16/11/2000,Altera a redação do Art. 58,Alteração na nomenclatura da Comissão,"Altera o nome para Comissão de Defesa dos Direitos Humanos, Cidadania e Legislação Participativa",58,,V
19,Comissão Permanente do Direito das Mulheres,15/03/2024,15/03/2024,Criação da Comissão Permanente do Direito das Mulheres foi criada pela Resolução 343 de 15/03/2024,Resolução 343 de 15/03/2024,343,15/3/2024,"Resolução 167, de 16/11/2000",167,16/11/2000,Acrescenta o inciso XIII ao art. 58,Criação de Comissão,Cria Comissão Permanente do Direito das Mulheres,58,,XIII
20,Comissão de Educação e Cultura,8/8/2024,,"Comissão de Educação e Cultura renomeada pela Resolução 350, de 2024",Resolução 350 de 07/08/2024,350,7/8/2024,"Resolução 167, de 16/11/2000",167,16/11/2000,Altera inciso VII do art.58,Alteração na nomenclatura da Comissão,"Cria Comissão de Educação e Cultura desmembrada da Comissão de Educação, Saúde e Cultura",58,,VII
21,Comissão de saúde,8/8/2024,,Criação da Comissão de Saúde pela Resolução 350 de 07/08/2024,Resolução 350 de 07/08/2024,350,7/8/2024,"Resolução 167, de 16/11/2000",167,16/11/2000,Acrescenta o inciso XIV ao art. 58,Alteração na nomenclatura da Comissão,Cria Comissão de Saúde,58,,XIV
22,Comissão de Defesa dos Direitos da Mulher,11/12/2024,,Criação da Comissão de Defesa dos Direitos da Mulher,Resolução 353 de 10/12/2024,353,10/12/2024,,,,Altera o inciso XIII ao art. 58,Alteração na nomenclatura da Comissão,Cria a Comissão de Defesa dos Direitos da Mulher,59,,XIII